quantile,x
0.5127,4.4207179617928050148189767476719263392831498425690695532278811877473748761849115206477396705417389862761507491411935810594147551299816720156521e-2
0.5128,4.4555437115449463771975670991724880382579826143713424449057202397667857156973352753337589853485597879012286654865642769615494461468716045524122e-2
0.5129,4.4903698602937765885208881862717171493533816557554497056702042636902402545887898813357946117757492746937895957270670670125422793950255338277524e-2
0.513,4.5251964111660738669914983327074831520120300742849644316435170096850845333408362275144510841462136702644020213106552052249528027601670095659333e-2
0.5131,4.5600233672888412907397665065840328707981093904518726443625711031823199967719926933825205937598600181617040667388521726305965081358238097127574e-2
0.5132,4.5948507317893085544361994137268607182684262893132140672931668636364689734611714541822080263267206894450968697824817756778096027692410681019746e-2
0.5133,4.6296785077949337262176994884852457640931480524123813183893577527606714268691200884830108064139288254477881471218038456978334758770873344685609e-2
0.5134,4.6645066984334050049302036671787261594151621252254359117320623762042740720131426452296616561713453927008555843426715135332503214050738174383244e-2
0.5135,4.6993353068326424776901536384944201992927903184049608210616256634288174523874539050444762159136590553273631141031004656611423222367003459596881e-2
0.5136,4.7341643361207998777672490805736360202602882412800254948925470192737855656798386930410386034519225299823579874587002857981117487778652972011478e-2
0.5137,4.7689937894262663427909362162819574289924093979636274570879823783241349852381912047290888890242241734229893342792617823101331363694670705213275e-2
0.5138,4.8038236698776681732830848462402964750155852628763109562575597439516619013319338345215552893472118397279329944590140702314309532491648666640522e-2
0.5139,4.8386539806038705915193078536086349772255306857591776919261404429526958634047430895324494309186832024127851682142996892613228349934191221012575e-2
0.514,4.8734847247339795007213780153627342010763377039824087815250829162749879781493337445236278961176431122931525833116662479975919323253164179935344e-2
0.5141,4.9083159053973432445831978018903972398091252349351906789611483217587784952698375479286686730732262254912791095113664479898078506799749350372541e-2
0.5142,4.9431475257235543671327787001613714470501708367004539334244856567733064275995042142311159413880600419126175963418013725548388010870373930502112e-2
0.5143,4.9779795888424513729326874554971536769666879224511055679450859224078960649289514675713644249028016326118345234633625481328732601688001494572892e-2
0.5144,5.0128120978841204876214174930873104193186781364528370999729552793941365182007306365940602099731163890083330999297341620196880508653730370331147e-2
0.5145,5.0476450559788974187981446528709756282798681545719599030206843360961118148918559337306182219266890264846865305701553073831996731289786367152672e-2
0.5146,5.0824784662573691172533272502294947655040266733531181010324627105426135627889257250422472062353587716445593603069354288812252940821747023661817e-2
0.5147,5.1173123318503755385476113601223241319140688658027025973769899610158848180926002937856237866076316760727140588835908077852465591990931508705582e-2
0.5148,5.1521466558890114049415031138468759852740586185617840089193944931122648741889969346962169718396314959838772350899858513545786848057623833647052e-2
0.5149,5.1869814415046279676782706955176545031743338426854064035250363794120113867067139376746308460285616444891454178482173797526953988891418864232144e-2
0.515,5.2218166918288347696225396296444138817704415699628654579007580624697635029544580915997542528349126914369717683261460843551153253574856851000229e-2
0.5151,5.2566524099935014082570458618468725660503155043913251079431055834215773366320592787369702555397527816850559787106607152753822983124469078114273e-2
0.5152,5.2914885991307592990400120517784478944149956660595227199467822278116260380286061269143930865361994918872066459146055063244549647362790462056874e-2
0.5153,5.3263252623730034391256134207472707380699898766502048145204987806376401939779094036792937955788465467887126500682347762585414529098915159147531e-2
0.5154,5.3611624028528941714500004263231637976883362188420337644875093080435939587294226349088765292337255278539168963608904686344266911199778216831839e-2
0.5155,5.3960000237033589491853464724081102263171635959437324176615156357034351193334048673115375195752160171075901516935808931065491663501741094223330e-2
0.5156,5.4308381280575941005643898058288177080697779421733938083205564212163795062198574966703036132863710429543587146866715024270387511104648994968198e-2
0.5157,5.4656767190490665940779396994871399781394385638318773274546489891395479688849319043406148216901091948069814971256743954117186747213543355150492e-2
0.5158,5.5005157998115158040478179774812223970978409268378514726068949018084578430858915778613506626907481202702139221470158058147967922725793943459070e-2
0.5159,5.5353553734789552765777078993911864249060591200982827761282651352247595245494748565402216302672208213305054130093857735344874752395689225692356e-2
0.516,5.5701954431856744958843833891118819918812824061562768487977041238905197915505560809986133349359529421906498844820366394244927020548263752601557e-2
0.5161,5.6050360120662406510117925682156656533209286874940558403278518102197900879212514071500553353895026162235356557231186780144093542492165105812014e-2
0.5162,5.6398770832555004029304705348442813872882314442076569131636297685478903841953190636621523848723851067050404875252416657942973759889878970838914e-2
0.5163,5.6747186598885816520247573165647318479124871904912155399244865422182672018716248790492287179356954122256783683867197794982354727766986156748817e-2
0.5164,5.7095607451008953059702979194835592909069994911570491086145153948546736870865424246433719807014782774503614300580822998299818029423515040683494e-2
0.5165,5.7444033420281370480043023962012623139759836589843078805489289156434299286797196825894638030430457872375633181449256675923443556899289620951828e-2
0.5166,5.7792464538062891055910448619077386952215374190129142569985261639349156683934899710518332332159219667505002361587245431858736027116961934927197e-2
0.5167,5.8140900835716220194850814010747743073950607528634190127323949144796645069176629295226230621061452818683035723352626703397984176097734419439178e-2
0.5168,5.8489342344606964131946678267968283460486111398555925194288990633777203232385957364730231990295189799160125046827639841437669155198957948026161e-2
0.5169,5.8837789096103647628478592808708576424327334625556055169982491124198426934211816454686875340933148042948418151554669514179988104598429109741303e-2
