x,cdf(x)-1/2,ccdf(x)
12.921875,0.4955538427559802076321161928851788770052630808461013647219912522848467112614895797091821141035604959693019212466570815594276367099857060908752547680129,0.004446157244019792367883807114821122994736919153898635278008747715153288738510420290817885896439504030698078753342918440572363290014293909124745231987118
12.9375,0.4955621772446182951655510020624004996285471939275834620112021224679666101217662412944608138366706874068103726518654264523534050891862507379268827120771,0.004437822755381704834448997937599500371452806072416537988797877532033389878233758705539186163329312593189627348134573547646594910813749262073117287922894
12.953125,0.495570485559401469549467374132378104877398828324957697873699924782217925665879525457727124789668505210048888622735165710905615157905733702358098901044,0.004429514440598530450532625867621895122601171675042302126300075217782074334120474542272875210331494789951111377264834289094384842094266297641901098956041
12.96875,0.4955787678158521642114264264352569722927230419411264575134331421997225101056186747875454146777631117324254170648559025861487488662070954379043861902903,0.004421232184147835788573573564743027707276958058873542486566857800277489894381325212454585322236888267574582935144097413851251133792904562095613809709685
12.984375,0.4955870241288353575307169973684573821752877157870351763172999350408229179195388176024849940533760402693446617926843250208035369382751974499195944898342,0.00441297587116464246928300263154261782471228421296482368270006495917708208046118239751500594662395973065533820731567497919646306172480255008040551016584
13,0.4955952546125631555365844014759575257707819448319724625464302361439998957001854057677702643133502722292856254978787540032305250881515641443038383776314,0.00440474538743684446341559852404247422921805516802753745356976385600010429981459423222973568664972777071437450212124599676947491184843585569616162236859
13.015625,0.4956034593805993368035913137528986685291076707997974314890172561453997209046209996524908433062653483257910295448082986387565640912940560192782359598722,0.004396540619400663196408686247101331470892329200202568510982743854600279095379000347509156693734651674208970455191701361243435908705943980721764040127846
13.03125,0.4956116385458638599041860487037335687161359164979490066410259832051549358612294570679788170977822485167822399747862830572509478256143291024304863704459,0.004388361454136140095813951296266431283864083502050993358974016794845064138770542932021182902217751483217760025213716942749052174385670897569513629554151
13.046875,0.4956197922206373337746659753142146891955884129077837191390712435440541443576509906847499752778896426061577966962005474785703501871237507328130005608987,0.004380207779362666225334024685785310804411587092216280860928756455945855642349009315250024722110357393842203303799452521429649812876249267186999439101339
13.0625,0.4956279205165654513468831722834072754365013960678151287291957759412320573866030939278422659046269507002241838178570953394099151353221235251583036132649,0.004372079483434548653116827716592724563498603932184871270804224058767942613396906072157734095373049299775816182142904660590084864677876474841696386735117
13.078125,0.4956360235446633867942450542174945325491220169448445406091061431802389071406687298116717327511949252450083921819565359856772444299062010431594755351634,0.004363976455336613205754945782505467450877983055155459390893856819761092859331270188328267248805074754991607818043464014322755570093798956840524464836588
13.09375,0.4956441014153201567368139737105214904289634596202537707239331873896017145432238168431276463622638855463157787915583469509716592902942564940266369935529,0.004355898584679843263186026289478509571036540379746229276066812610398285456776183156872353637736114453684221208441653049028340709705743505973363006447086
13.109375,0.4956521542383029457466061199751315870371031853809057970896143035146794930775424585805580357489777131275437864052047773860991315442381973702404440382636,0.004347845761697054253393880024868412962896814619094202910385696485320506922457541419441964251022286872456213594795222613900868455761802629759555961736444
13.125,0.4956601821227613964905307943929905211647523456197829847550816266070848842304429226017765961067264600623619874592877781751994382796192922443819994368453,0.004339817877238603509469205607009478835247654380217015244918373392915115769557077398223403893273539937638012540712221824800561720380707755618000563154679
13.140625,0.4956681851772318648447957581528893775138354390669908788611197991042284696132641350512158596785512878851966544602269437048175274853683130570413098237134,0.004331814822768135155204241847110622486164560933009121138880200895771530386735864948784140321448712114803345539773056295182472514631686942958690176286573
13.15625,0.4956761635096416403110322366897152085244081297478074449272417240191538094062670314307428683052472189179682041516108579587778026158623517105196743899323,0.004323836490358359688967763310284791475591870252192555072758275980846190593732968569257131694752781082031795848389142041222197384137648289480325610067738
13.171875,0.4956841172273131320608637579830426034055378620802144636904532446712490602573878068926554479307946534947726271039342001009233756174169650042437429986345,0.004315882772686867939136242016957396594462137919785536309546755328750939742612193107344552069205346505227372896065799899076624382583034995756257001365479
13.1875,0.4956920464369680209321557332399136917342615671149627337601550181730825303806223120473547405457016680506532731974915173180315931145624065731767756554086,0.004307953563031979067844266760086308265738432885037266239844981826917469619377687952645259454298331949346726802508482681968406885437593426823224344591362
13.203125,0.4956999512447313776967370035291337621103504228103688806987982937111054354887006421747253273832593080314555810734718169538860310041331162681938547073787,0.004300048755268622303262996470866237889649577189631119301201706288894564511299357825274672616740691968544418926528183046113968995866883731806145292621334
13.21875,0.4957078317561357479159799270202273742914324692208133436031204385048672626657800255649216917284814128248758425769052189387309005005097815472013148756058,0.004292168243864252084020072979772625708567530779186656396879561495132737334219974435078308271518587175124157423094781061269099499490218452798685124394169
13.234375,0.4957156880761252036972614289593482657237163852409793126385681851137595339180852917511068326585992051501324683916720768101134118943585097112991024182829,0.004284311923874796302738571040651734276283614759020687361431814886240466081914708248893167341400794849867531608327923189886588105641490288700897581717097
13.25,0.4957235203090593626610032484982044297681785909229953344000958635876429553620265996766815366072741005697417810199094030935327619061379736888174661985873,0.004276479690940637338996751501795570231821409077004665599904136412357044637973400323318463392725899430258218980090596906467238093862026311182533801412733
13.265625,0.4957313285587173744247048687316799340142229376442324892051979184496912674194706934579105234800096739062085502962930343776687231186226846969286697656589,0.004268671441282625575295131268320065985777062355767510794802081550308732580529306542089476519990326093791449703706965622331276881377315303071330234341101
13.28125,0.4957391129283018749071367920674451938305388423595950129551601575426144469495453525363932411117842972235249284960544654451787518435068096266251080345144,0.00426088707169812509286320793255480616946115764040498704483984245738555305045464746360675888821570277647507150394553455482124815649319037337489196548559
13.296875,0.495746873520442908752654413022450474364368065804417953193817467147985904104257555080502310392767550944619259339678585564513425381039839555702102816557,0.004253126479557091247345586977549525635631934195582046806182532852014095895742444919497689607232449055380740660321414435486574618960160444297897183442976
13.3125,0.4957546104372018201724232426815831544936731552853665067583476401227342283679721597293731195672753383358062142050708309526314052483482485647475325756212,0.00424538956279817982757675731841684550632684471463349324165235987726577163202784027062688043272466166419378579492916904736859475165175143525246742437882
13.328125,0.495762323780075112496214158503362868781563889646562011608196821186404020091013938174112891659154277263980143552221767935292832078268593820232727858984,0.004237676219924887503785841496637131218436110353437988391803178813595979908986061825887108340845722736019856447778232064707167921731406179767272141016041
13.34375,0.4957700136499982767253322021211512244842979301263975355706896991104506328411977463575588454215566537317601288393359918162893162299176601995882039190205,0.004229986350001723274667797878848775515702069873602464429310300889549367158802253642441154578443346268239871160664008183710683770082339800411796080979488
