x,pdf(x)
0,0.2873527514521644450244821622869948682617278379662168667843240059998853782189917026130623789790055306447226058809906845993954678324975734554434598705655
0.0009765625,0.2873526502641990822416978570860864616119741842574545729974130478392679303620052707223487667595795669571133807070930290097548030837278140594912047515899
0.001953125,0.2873523467005710870306556930188839289636010718946643444276668180929381986549547175359682795774335217812468653203330213107247409699991999759525284998201
0.0029296875,0.2873518407620847374494008781464162555522172704185369505372475793547440105000838969701067682256389588284818825863174575312771601882385025780758334005609
0.00390625,0.2873511324500804924150624693714491229478794841827974752645845213773804168544874555730988788436708979575628937986943694630128647101183432054093720640125
0.0048828125,0.2873502217664349849344707993615747398547040226706823654646826893483164884250038873312247424586572254668536526455868038324123832974846545736201520128684
0.005859375,0.2873491087135610126270955972761361951591927454531069050259225083744182257297454467350498382104427385299480235665045932834303367689559886064888463061804
0.0068359375,0.2873477932944075255403785253785898521774934449442600629647961500566133016523032745041606723855521939752735732018562720865868930083273947728304171779454
0.0078125,0.2873462755124596112575549157063894575640417759724342181662095153738769939563594417261086720978426444379174581538350174771472407861417172179695437648033
0.0087890625,0.2873445553717384772980805520399270570511364337866116042026681598900288300721621772937743995383539371557061881133814887122550404196052871289032157798416
0.009765625,0.287342632876801430810800402233622315776375831157799819494788738133526431910378581250136495655793373426018785242009682822575196551703818994584462257265
0.0107421875,0.2873405080327418555600172643190647137031658711132810349494072740922953993728592231765112503013385119286624865610614309327193515251717679184091728775977
0.01171875,0.2873381808451891862046393464353542378146188502844256508142580628049448717853972918704815195753155781033669492150909602662778961007547077958502152294525
0.0126953125,0.2873356513203088798706068553586513376453119900693933792917818191041438801563525312285107781431311301911158394492863295577951142831619185322777417933758
0.013671875,0.2873329194648023850168187209646587412237679172658645575131541552288327876410316648250695510369353145760047608670611437350367729076045401069738277290937
0.0146484375,0.2873299852859071075948016341375690853265877451434275396914914407668570101609456245582349443102666066977826524896036742139724874106758586533527528750564
0.015625,0.2873268487913963745023846232102093581910930992640176071137341555955674265823384283326994829285456250914753388853795920314082361919727609342027737125345
0.0166015625,0.2873235099895793943316634387560185370407033988839540941196691310477446836258357083035962474498414262181911195894682494807378070324132046240773807886171
0.017578125,0.2873199688893012154115600582274708413426707378070233514844163297914128181021783875434179229367558623225630710226894055372206003538876073043980485023274
0.0185546875,0.2873162254999426811453036603210088616081602322065068374929783791744973370300176530205959142789199947753310867994217565656126207180675321847556388045853
0.01953125,0.2873122798314203826431804538189296092692963329205179171488565215878594496843767851744266294424780197928538016039465128107887845583048019562112051249726
0.0205078125,0.287308131894186608650920776787472580949831067809344679885386053732368381811671084682855332760550083844210930772029572065285691126804902115682741952378
0.021484375,0.2873037816992292927741129091711448915383599757391237876514984359617292173439361381455877576958839717419387189212574191545712868946395327655250141086551
0.0224609375,0.2872992292580719579990540647896925585631745404730773805358218496896579603352593148402623777549148415441524386769757111757040386315256268125650593624721
0.0234375,0.2872944745827736585104700472897559370177077272864595746184680805255961814465488834952416020975446670718095923584563221903892775157308081825565782172571
0.0244140625,0.2872895176859289188065560685018597628495241527099971070837525708942529715958674630310616328844136882048142916176541372954202621971267671314552565618092
0.025390625,0.2872843585806676701118122366787779142935143739462749602653110246467799630583849158637075535184274381482845721839565548970032123712945250167279662893818
0.0263671875,0.2872789972806551840881682260173416504377538241995105520713673278059519394884435685350776166088090716681950651243656121571391072336881515223310890027999
0.02734375,0.2872734338000920038449126374663608620672713910665850987671912051686651377868164329598338813392319256101650819423276936146832036735934299990517277928125
0.0283203125,0.2872676681537138722479635538725083758029751427536853196163970329672311402864051729071945088556715414620224567554319047803923255730580041845836274404063
0.029296875,0.2872617003567916575290377797878628308527923043615199072566664947449001177600454050742523350923423738841096290620756218234768383538452663329801824964373
0.0302734375,0.2872555304251312761952972375314821346169127784131854897950250476314391478551173000773178696286622203962247157413988713331090413445547763927506325419302
0.03125,0.287249158375073613240071966137136985253370001781867648901858659363272318546286063228467008170655969737879764214675404810722131402756463155942026399875
0.0322265625,0.2872425842234944396552801384045095167179805984659372108192759468821610223060556654593195368583398607075758866586175385018945020297017895218762450717722
0.033203125,0.2872358079878043272461864731761831223941273598996551853261341464807737057805703428803306769791312880007367624104306615071252760374891604021450053878108
0.0341796875,0.2872288296859485607491613749621367031063015527667121716619984653523388724825783147928499533321605426864206373633257683832260924020895562375209531382231
0.03515625,0.2872216493364070472531240809018272777449715447035524972639890726566678914072905705779108320551652988245642494567476734677474543249617342905266906857006
0.0361328125,0.2872142669581942229253740355660161092747328180730067550685198107816780023007519780341987997134004214035125846115523994716243630643880856474454135561771
0.037109375,0.2872066825708589570425356470310851067336310251271471271079964192888004726387823570616613203983633053433518527403540104655501186762880956017486300177533
0.0380859375,0.2871988961944844533273625027826281323242311522062523320053851242575170609673458293584484263227709691711750940984694358471429839188058391884893156671391
0.0390625,0.2871909078496881485921680410976209779115501729427092369848213681664635526269880154950677134543198956120759937772774481889728856187759046355613387839721
0.0400390625,0.2871827175576216086896705823906214625618209447169724579457204075254474951902488353421821781604654452074575264420313457841450563215715626102731449068892
0.041015625,0.2871743253399704217720615253644900455437102885858204641572378553762774660987477573792266336609455934973926097661455561226994513218638373064031938985173
0.0419921875,0.2871657312189540888591264044554328054741877069930330493995048695743732383937802939433345104267582918274964499325487909635060393264353921048582983044697
0.04296875,0.2871569352173259117162693877812555532643928599185579421031361724980771381192145451593731028369125182630139743378545582328386088941070204230857501587489
0.0439453125,0.2871479373583728780433126683662079931616766859098998994773421611138410319978348437119241944498288227766577381367937840829344054539823587620746413443193
